id;cuisine
cui1;African
cui2;Argentinian
cui3;American
cui4;Asian
cui5;Austrian
cui6;Belgian
cui7;Brazilian
cui8;British
cui9;Bistrot/Wine bar
cui10;Carribean
cui11;Chinese
cui12;Eastern European
cui13;French
cui14;Dutch
cui15;German
cui16;Greek
cui17;Indian
cui18;Italian
cui19;Irish
cui20;Japanese
cui21;Korean
cui22;Lebanese
cui23;Portugese
cui24;Mediterranean
cui25;Mexican
cui26;Moroccan
cui27;Middle-Eastern
cui28;Israeli
cui29;Peruvian
cui30;Scandinavian
cui31;Singaporian
cui32;Spanish
cui33;Swiss
cui34;Thai
cui35;Turkish
