restaurant name;id restaurant;id chef;Review;Best dish
Alsancak Simit Sarayi;111;"JC1 ";;
"Adana Grillhaus ";112;"JC1 ";;
Alt Berliner Wirtshaus Henne;113;"JC1 ";;
Prater Beer Garden;114;"JC1 ";;
"Borchardt ";115;"JC1 ";;
Libensmittel in Mitte;116;"JC1 ";;
Zollpackhof;117;"JC1 ";;
"Papaya ";118;"JC1 ";;
"Thai-art ";119;"JC1 ";;
"Kin Dee ";120;"JC1 ";;
Chungking Noodles;121;"JC1 ";;
Smartdeli Sushi & More;122;"JC1 ";;
"Aroma ";123;"JC1 ";;
"Wok Show ";124;"JC1 ";;
"Sasaya ";125;"JC1 ";;
"Doyum ";126;"JC1 ";;
Mustafa's Gemüse Kebap;127;"JC1 ";;
Tadim;128;"JC1 ";;
K'Ups Gemüsekebap;129;"JC1 ";;
Gel Gör;130;"JC1 ";;
Güllü Lamachun;131;"JC1 ";;
Kumru;132;"JC1 ";;
Örnek Lahmacun Evi;133;"JC1 ";;
Imren Grill;134;"JC1 ";;
Guten dag;135;"JC1 ";;
Habibi;136;"JC1 ";;
Jones;137;"JC1 ";;
RISA;138;"JC1 ";;
Curry 36;139;"JC1 ";;
Companion;140;"JC1 ";;
Rocket & Basil;141;"JC1 ";;
Bonanza Coffee Roasters;142;"JC1 ";;
"Sofi ";143;"JC1 ";;
Estelle Dining;144;"JC1 ";;
Julius;145;"JC1 ";;
Barra;146;"JC1 ";;
ernst;147;"JC1 ";;
Lode & Stijn;148;"JC1 ";;
Chung King Noodles;121;"DR1 ";;
Mings;149;"DR1 ";;
Lamazère Brasserie;150;"DR1 ";;
Mrs. Robinsons;151;"DR1 ";;
Malafemmena Schöneberg;152;"DR1 ";;
Gel Gör;130;"DR1 ";;
Tantris;211;MG2;;
Werneckhof Sigi Schelling;212;MG2;;
Theresa Grill;213;MG2;;
Chez Fritz;214;MG2;;
Giorgia Trattoria;215;MG2;;
"M’Uniqo Rooftop Bar ";216;MG2;;
Dinatale Cafe;217;MG2;;
Schoko.Laden;218;MG2;;
Cochinchina;219;MG2;;
Viktualien Markt;220;MG2;;
"Delicatessen Place ";311;RM3;;
Le Doyenné;312;RM3;;
Le Rigmarole;313;RM3;;
Chez Marius;314;RM3;;
Omusubi Gonbei;315;RM3;;
"Juji-ya ";316;RM3;;
Quinsou;317;RM3;;
